source_id,entity_type,record_id,municipality,event_date,category,data
edmonton_permits,permit,2-652923208,edmonton,2026-04-23,new_construction,"{""work"": ""(01) Building - New"", ""status"": ""Issued"", ""address"": ""4329 - ERLANGER CRESCENT NW"", ""area_m2"": 326.18, ""province"": ""AB"", ""description"": ""To construct a Residential Use building in the form of a Semi-Detached House with a front attached Garage, unenclosed front porch and fireplace."", ""issued_date"": ""2026-04-23"", ""permit_type"": ""Single, Semi-detached & Rowhousing"", ""neighborhood"": ""Edgemont"", ""permit_number"": ""2-652923208"", ""geocode_failed"": true, ""structure_type"": ""Semi-Detached House (210)"", ""status_canonical"": ""issued"", ""construction_value"": 438875.0, ""normalized_address"": ""4329 ERLANGER CRESCENT NORTHWEST"", ""permit_type_canonical"": ""new_construction"", ""dwelling_units_created"": ""2"", ""normalized_business_name"": """"}"
st_catharines_permits,permit,9177,st_catharines,2026-04-08,renovation,"{""work"": ""Proposed second floor balcony, new windows/door and Stucco EIFS wall finish around the entire house"", ""status"": ""Under Inspection"", ""address"": ""LAKESHORE ROAD"", ""province"": ""ON"", ""issued_date"": ""2026-04-08"", ""permit_type"": ""Residential"", ""permit_number"": ""26-102717"", ""geocode_failed"": true, ""application_date"": ""2026-03-06"", ""status_canonical"": ""issued"", ""normalized_address"": ""LAKESHORE ROAD"", ""permit_type_canonical"": ""renovation"", ""normalized_business_name"": """"}"
edmonton_permits,permit,1-645463431,edmonton,2026-03-06,renovation,"{""lat"": ""53.53447"", ""lng"": ""-113.5756"", ""work"": """", ""status"": ""Issued"", ""address"": ""14607 - 97 AVENUE NW"", ""area_m2"": null, ""province"": ""AB"", ""description"": ""To construct an Accessory building (Mutual detached storage building, 11.5m x 4.9m)."", ""issued_date"": ""2026-03-06"", ""permit_type"": ""Home Improvement"", ""neighbourhood"": ""Crestwood"", ""permit_number"": ""1-645463431"", ""structure_type"": ""Row House (330)"", ""status_canonical"": ""issued"", ""construction_value"": null, ""normalized_address"": ""14607 97 AVENUE NORTHWEST"", ""permit_type_canonical"": ""renovation"", ""dwelling_units_created"": null, ""normalized_business_name"": """"}"
edmonton_permits,permit,1-654922491,edmonton,2026-05-07,renovation,"{""lat"": ""53.44914"", ""lng"": ""-113.55695"", ""work"": """", ""status"": ""Issued"", ""address"": ""2208 - MARTELL PLACE NW"", ""area_m2"": null, ""province"": ""AB"", ""description"": ""To construct interior alterations to a Residential Use building (adding a wine cellar to an existing Basement Development, NOT to be used as an additional Dwelling)."", ""issued_date"": ""2026-05-07"", ""permit_type"": ""Home Improvement"", ""neighborhood"": ""Magrath Heights"", ""permit_number"": ""1-654922491"", ""structure_type"": ""Single Detached House (110)"", ""status_canonical"": ""issued"", ""construction_value"": 100000.0, ""normalized_address"": ""2208 MARTELL PLACE NORTHWEST"", ""permit_type_canonical"": ""renovation"", ""dwelling_units_created"": null, ""normalized_business_name"": """"}"
montreal_permits,permit,3001923705,montreal,2026-05-04,renovation,"{""lat"": ""45.54955"", ""lng"": ""-73.53508"", ""work"": ""En façade avant, appartement 204, remplacement de la porte patio au 2e étage tel que l'existant et tel que soumission. En façade arrière, remplacement de la porte patio et du panneau fixe par une porte patio plus grande. Le tout dans les mêmes ouvertures. Aucuns travaux de structure."", ""status"": ""Issued"", ""address"": ""4211  RUE SAINTE-CATHERINE EST"", ""province"": ""QC"", ""current_use"": ""5 à 11 Logements"", ""issued_date"": ""2026-05-04"", ""permit_type"": ""Transformation"", ""neighborhood"": ""Mercier - Hochelaga-Maisonneuve"", ""permit_number"": ""3001923705"", ""structure_type"": ""Résidentiel"", ""application_date"": ""2026-04-19"", ""permit_type_code"": ""TR"", ""status_canonical"": ""issued"", ""application_number"": ""3003653692"", ""normalized_address"": ""4211 RUE SAINTE-CATHERINE EST"", ""permit_type_canonical"": ""renovation"", ""dwelling_units_created"": 0, ""normalized_business_name"": """"}"
coquitlam_permits,permit,25-115864-00-SF,coquitlam,2026-03-02,other,"{""work"": ""NEW - c/w"", ""value"": 472287.93, ""status"": ""Issued"", ""address"": ""3643 Harper Rd"", ""province"": ""BC"", ""issued_date"": ""2026-03-02"", ""permit_type"": ""Residential"", ""permit_number"": ""25 115864 00 SF"", ""geocode_failed"": true, ""status_canonical"": ""issued"", ""normalized_address"": ""3643 HARPER ROAD"", ""permit_type_canonical"": ""other"", ""normalized_business_name"": """"}"
regina_permits,permit,PRFR202600538,regina,2026-03-16,new_construction,"{""lat"": ""50.46246"", ""lng"": ""-104.5323"", ""work"": ""110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"", ""status"": ""Issued"", ""address"": ""3626 E BERTHIAUME BAY, REGINA, SK S4N7J4"", ""storeys"": 0, ""province"": ""SK"", ""units_lost"": null, ""work_class"": ""Alteration and improvements"", ""issued_date"": ""2026-03-16"", ""permit_type"": ""Foundation Repair"", ""subdivision"": ""Parkridge"", ""building_use"": ""Residential"", ""permit_number"": ""PRFR202600538"", ""dwelling_units"": 0, ""status_canonical"": ""issued"", ""construction_type"": ""110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"", ""construction_value"": null, ""normalized_address"": ""3626 EAST BERTHIAUME BAY"", ""permit_type_canonical"": ""new_construction"", ""normalized_business_name"": """"}"
calgary_permits,permit,BP2026-04398,calgary,2026-05-05,renovation,"{""lat"": ""51.16352"", ""lng"": ""-114.14925"", ""work"": ""Existing"", ""status"": ""Issued Permit"", ""address"": ""104R SHERWOOD GA NW"", ""area_m2"": null, ""province"": ""AB"", ""current_use"": ""Residential"", ""description"": ""Secondary Suite"", ""issued_date"": ""2026-05-05"", ""permit_type"": ""Residential Improvement Project"", ""builder_name"": """", ""neighborhood"": ""Sherwood"", ""permit_number"": ""BP2026-04398"", ""applicant_name"": ""MAJESTICS MOTORS"", ""completed_date"": null, ""structure_type"": ""1110 - Below Grade Suite"", ""contractor_name"": null, ""application_date"": ""2026-03-23"", ""status_canonical"": ""issued"", ""construction_value"": 69864.0, ""normalized_address"": ""104R SHERWOOD GA NORTHWEST"", ""permit_type_canonical"": ""renovation"", ""dwelling_units_created"": ""1"", ""normalized_business_name"": """", ""contractor_name_normalized"": null}"
toronto_permits,permit,26 116628 FSU:00,toronto,2026-03-06,renovation,"{""lat"": ""43.6937"", ""lng"": ""-79.29785"", ""ward"": ""S1930"", ""work"": ""Fire Alarm"", ""status"": ""Permit Issued"", ""address"": ""80 SECORD AVE"", ""dataset"": ""active"", ""province"": ""ON"", ""revision"": ""00"", ""current_use"": ""Apartment"", ""description"": ""Replacement of fire alarm panel"", ""issued_date"": ""2026-03-06"", ""permit_type"": ""Fire/Security Upgrade"", ""postal_code"": ""M4C"", ""builder_name"": ""None"", ""proposed_use"": ""Apartment"", ""permit_number"": ""26 116628 FSU"", ""completed_date"": null, ""structure_type"": ""Apartment Building"", ""contractor_name"": ""None"", ""application_date"": ""2026-02-12"", ""status_canonical"": ""issued"", ""construction_value"": 20000.0, ""normalized_address"": ""80 SECORD AVENUE"", ""dwelling_units_lost"": null, ""floor_area_commercial"": 0, ""floor_area_industrial"": 0, ""permit_type_canonical"": ""renovation"", ""dwelling_units_created"": null, ""floor_area_residential"": 0, ""floor_area_institutional"": 0, ""normalized_business_name"": ""NONE"", ""contractor_name_normalized"": null}"
mississauga_permits,permit,BP 9ALT 26-661,mississauga,2026-03-12,renovation,"{""lat"": 43.57541601, ""lng"": -79.57972089, ""ward"": ""1"", ""work"": ""NEW COVERED PORCH IN SIDE YARD"", ""status"": ""ISSUED PERMIT"", ""zoning"": ""07"", ""address"": ""569 ARBOR RD"", ""area_m2"": null, ""storeys"": null, ""province"": ""ON"", ""file_type"": ""RESIDENTIAL"", ""demolition"": true, ""issued_date"": ""2026-03-12"", ""permit_type"": ""ALTERATION TO EXISTING BLDG"", ""postal_code"": ""L5G 2J7"", ""building_type"": ""DETACHED DWELLING"", ""permit_number"": ""BP 9ALT 26-661"", ""completed_date"": null, ""dwelling_units"": null, ""application_date"": ""2026-02-25"", ""status_canonical"": ""issued"", ""construction_value"": 31720.0, ""normalized_address"": ""569 ARBOR ROAD"", ""permit_type_canonical"": ""renovation"", ""normalized_business_name"": """"}"
